ก.	k-@@-z^-0|
คุณูปการ	kh-u-z^-3|n-uu-z^-0|p-a-z^-1|k-aa-n^-0|
คุม	kh-u-m^-0|
คุรุสภา	kh-u-z^-3|r-u-z^-3|s-a-z^-1|ph-aa-z^-0|
คุ้น	kh-u-n^-3|
คุ้นเคย	kh-u-n^-3|kh-qq-j^-0|
คุ้ม	kh-u-m^-3|
คุ้มกัน	kh-u-m^-3|k-a-n^-0|
คุ้มครอง	kh-u-m^-3|khr-@@-ng^-0|
คุ้มค่า	kh-u-m^-3|kh-aa-z^-2|
คูน	kh-uu-n^-0|
คูเวต	kh-uu-z^-0|w-ee-t^-1|
คู่	kh-uu-z^-2|
คู่ครอง	kh-uu-z^-2|khr-@@-ng^-0|
คู่ค้า	kh-uu-z^-2|kh-aa-z^-3|
คู่มือ	kh-uu-z^-2|m-vv-z^-0|
ค่อน	kh-@@-n^-2|
ค่อนข้าง	kh-@-n^-2|kh-aa-ng^-2|
ค่อย	kh-@-j^-2|
ค่อย	kh-@@-j^-2|
ค่า	kh-aa-z^-2|
ค่าจ้าง	kh-aa-z^-2|c-aa-ng^-2|
ค่านิยม	kh-aa-z^-2|n-i-z^-3|j-o-m^-0|
ค่าย	kh-aa-j^-2|
ค่าเช่า	kh-aa-z^-2|ch-a-w^-2|
ค่าแรง	kh-aa-z^-2|r-xx-ng^-0|
ค่าใช้จ่าย	kh-aa-z^-2|ch-a-j^-3|c-aa-j^-1|
ค่ำคืน	kh-a-m^-2|kh-vv-n^-0|
ค้น	kh-o-n^-3|
ค้นคว้า	kh-o-n^-3|khw-aa-z^-3|
ค้นพบ	kh-o-n^-3|ph-o-p^-3|
ค้นหา	kh-o-n^-3|h-aa-z^-4|
ค้า	kh-aa-z^-3|
ค้าง	kh-aa-ng^-3|
ค้าน	kh-aa-n^-3|
ค้ำ	kh-a-m^-3|
ฆ่า	kh-aa-z^-2|
งง	ng-o-ng^-0|
งด	ng-o-t^-3|
งดงาม	ng-o-t^-3|ng-aa-m^-0|
งดเว้น	ng-o-t^-3|w-e-n^-3|
งบ	ng-o-p^-3|
งบประมาณ	ng-o-p^-3|pr-a-z^-1|m-aa-n^-0|
งมงาย	ng-o-m^-0|ng-aa-j^-0|
งอก	ng-@@-k^-2|
งอกงาม	ng-@@-k^-2|ng-aa-m^-0|
งาน	ng-aa-n^-0|
งาม	ng-aa-m^-0|
งูเห่า	ng-uu-z^-0|h-a-w^-1|
ง่าม	ng-aa-m^-2|
ง่าย	ng-aa-j^-2|
ง่ายดาย	ng-aa-j^-2|d-aa-j^-0|
จ.	c-@@-z^-0|
จ.	c-a-ng^-0|w-a-t^-1|
จง	c-o-ng^-0|
จงรัก	c-o-ng^-0|r-a-k^-3|
จงใจ	c-o-ng^-0|c-a-j^-0|
จด	c-o-t^-1|
จดจำ	c-o-t^-1|c-a-m^-0|
จดหมาย	c-o-t^-1|m-aa-j^-4|
จดหมายเหตุ	c-o-t^-1|m-aa-j^-4|h-ee-t^-1|
จตุจักร	c-a-z^-1|t-u-z^-1|c-a-k^-1|
จน	c-o-n^-0|
จนกระทั่ง	c-o-n^-0|kr-a-z^-1|th-a-ng^-2|
จนกว่า	c-o-n^-0|kw-aa-z^-1|
จนถึง	c-o-n^-0|th-v-ng^-4|
จบ	c-o-p^-1|
จปร.	c-@@-z^-0|p-@@-z^-0|r-@@-z^-0|
จม	c-o-m^-0|
จมูก	c-a-z^-1|m-uu-k^-1|
จมูก	c-a-z^-1|m-uu-k^-2|
จรรยา	c-a-n^-0|j-aa-z^-0|
จระเข้	c-@@-z^-0|r-a-z^-3|kh-ee-z^-2|
จริง	c-i-ng^-0|
จริงจัง	c-i-ng^-0|c-a-ng^-0|
จริงอยู่	c-i-ng^-0|j-uu-z^-1|
จริงใจ	c-i-ng^-0|c-a-j^-0|
จริยธรรม	c-a-z^-1|r-i-z^-3|j-a-z^-3|th-a-m^-0|
จริยศาสตร์	c-a-z^-1|r-i-z^-3|j-a-z^-3|s-aa-t^-1|
จริยศึกษา	c-a-z^-1|r-i-z^-3|j-a-z^-3|s-v-k^-1|s-aa-z^-4|
จอ	c-@@-z^-0|
จอด	c-@@-t^-1|
จอมพล	c-@@-m^-0|ph-o-n^-0|
จอร์จ	c-@@-t^-3|
จะ	c-a-z^-1|
จัก	c-a-k^-1|
จักร	c-a-k^-1|
จักรวาล	c-a-k^-1|kr-a-z^-1|w-aa-n^-0|
จักรๆ	c-a-k^-1|c-a-k^-1|
จังหวะ	c-a-ng^-0|w-a-z^-1|
จังหวัด	c-a-ng^-0|w-a-t^-1|
จัด	c-a-t^-1|
จัดการ	c-a-t^-1|k-aa-n^-0|
จัดตั้ง	c-a-t^-1|t-a-ng^-2|
จัดสรร	c-a-t^-1|s-a-n^-4|
จัดหา	c-a-t^-1|h-aa-z^-4|
จัดเจน	c-a-t^-1|c-ee-n^-0|
จัดแต่ง	c-a-t^-1|t-x-ng^-1|
จัดแสดง	c-a-t^-1|s-a-z^-1|d-xx-ng^-0|
จันทร์	c-a-n^-0|
จันท์เทวี	c-a-n^-0|th-ee-z^-0|w-ii-z^-0|
จับ	c-a-p^-1|
จับกุม	c-a-p^-1|k-u-m^-0|
จับคู่	c-a-p^-1|kh-uu-z^-2|
จับต้อง	c-a-p^-1|t-@-ng^-2|
จาก	c-aa-k^-1|
จากนั้น	c-aa-k^-1|n-a-n^-3|
จาง	c-aa-ng^-0|
จาน	c-aa-n^-0|
จารีต	c-aa-z^-0|r-ii-t^-2|
จารึก	c-aa-z^-0|r-v-k^-3|
จำ	c-a-m^-0|
จำกัด	c-a-m^-0|k-a-t^-1|
จำคุก	c-a-m^-0|kh-u-k^-3|
จำนงศรี	c-a-m^-0|n-o-ng^-0|s-ii-z^-4|
จำนน	c-a-m^-0|n-o-n^-0|
จำนวน	c-a-m^-0|n-uua-n^-0|
จำนวนเต็ม	c-a-m^-0|n-uua-n^-0|t-e-m^-0|
จำยอม	c-a-m^-0|j-@@-m^-0|
จำลอง	c-a-m^-0|l-@@-ng^-0|
จำหน่าย	c-a-m^-0|n-aa-j^-1|
จำเจ	c-a-m^-0|c-ee-z^-0|
จำเป็น	c-a-m^-0|p-e-n^-0|
จำแนก	c-a-m^-0|n-xx-k^-2|
จิต	c-i-t^-1|
จิตรกร	c-i-t^-1|tr-a-z^-1|k-@@-n^-0|
จิตรกรรม	c-i-t^-1|tr-a-z^-1|k-a-m^-0|
จิตวิทยา	c-i-t^-1|t-a-z^-1|w-i-t^-3|th-a-z^-3|j-aa-z^-0|
จิตวิเคราะห์	c-i-t^-1|t-a-z^-1|w-i-z^-3|khr-@-z^-3|
จิตสำนึก	c-i-t^-1|s-a-m^-4|n-v-k^-3|
จิตเภท	c-i-t^-1|t-a-z^-1|ph-ee-t^-2|
จิตเวช	c-i-t^-1|t-a-z^-1|w-ee-t^-2|
จิตแพทย์	c-i-t^-1|t-a-z^-1|ph-xx-t^-2|
จิตใจ	c-i-t^-1|c-a-j^-0|
จินดา	c-i-n^-0|d-aa-z^-0|
จิรโรจน์	c-i-z^-1|r-a-z^-3|r-oo-t^-2|
จิ่งกังซาน	c-i-ng^-1|k-a-ng^-0|s-aa-n^-0|
จี	c-ii-z^-0|
จีน	c-ii-n^-0|
จีเซลซาฟ	c-ii-z^-0|s-e-l^-0|s-aa-f^-3|
จีเมนซาฟ	c-ii-z^-0|m-ee-n^-0|s-aa-f^-3|
จี้	c-ii-z^-2|
จึง	c-v-ng^-0|
จุด	c-u-t^-1|
จุดจบ	c-u-t^-1|c-o-p^-1|
จุดประสงค์	c-u-t^-1|pr-a-z^-1|s-o-ng^-4|
จุดมุ่งหมาย	c-u-t^-1|m-u-ng^-2|m-aa-j^-4|
จุดยืน	c-u-t^-1|j-vv-n^-0|
จุดสำคัญ	c-u-t^-1|s-a-m^-4|kh-a-n^-0|
จุดหมาย	c-u-t^-1|m-aa-j^-4|
จุดเด่น	c-u-t^-1|d-e-n^-1|
จุลจอมเกล้า	c-u-n^-0|l-a-z^-3|c-@@-m^-0|kl-aa-w^-2|
จุลละทรัพย์	c-u-n^-0|l-a-z^-3|s-a-p^-3|
จูงใจ	c-uu-ng^-0|c-a-j^-0|
จู่โจม	c-uu-z^-1|c-oo-m^-0|
จ่อ	c-@@-z^-1|
จ่าย	c-aa-j^-1|
จ้อย	c-@-j^-2|
จ้าง	c-aa-ng^-2|
จ๋อย	c-@-j^-4|
ฉกรรจ์	ch-a-z^-1|k-a-n^-0|
ฉบับ	ch-a-z^-1|b-a-p^-1|
ฉลาก	ch-a-z^-1|l-aa-k^-1|
ฉลาด	ch-a-z^-1|l-aa-t^-1|
ฉลุ	ch-a-z^-1|l-u-z^-1|
ฉวย	ch-uua-j^-4|
ฉะนั้น	ch-a-z^-1|n-a-n^-3|
ฉัน	ch-a-n^-4|
ฉันนั้น	ch-a-n^-4|n-a-n^-3|
ฉันใด	ch-a-n^-4|d-a-j^-0|
ฉับพลัน	ch-a-p^-1|phl-a-n^-0|
ฉับไว	ch-a-p^-1|w-a-j^-0|
ฉาก	ch-aa-k^-1|
ฉาบฉวย	ch-aa-p^-1|ch-uua-j^-4|
ฉาย	ch-aa-j^-4|
ฉีดยา	ch-ii-t^-1|j-aa-z^-0|
ฉุกคิด	ch-u-k^-1|kh-i-t^-3|
ฉ้อฉล	ch-@@-z^-2|ch-o-n^-4|
ชน	ch-o-n^-0|
ชนชั้น	ch-o-n^-0|ch-a-n^-3|
ชนชั้นนำ	ch-o-n^-0|ch-a-n^-3|n-a-m^-0|
ชนชาติ	ch-o-n^-0|ch-aa-t^-2|
ชนบท	ch-o-n^-0|n-a-z^-3|b-o-t^-1|
ชนวน	ch-a-z^-3|n-uua-n^-0|
ชนะ	ch-a-z^-3|n-a-z^-3|
ชนิด	ch-a-z^-3|n-i-t^-3|
ชม	ch-o-m^-0|
ชมชอบ	ch-o-m^-0|ch-@@-p^-2|
ชมเชย	ch-o-m^-0|ch-qq-j^-0|
ชรา	ch-a-z^-3|r-aa-z^-0|
ชลบุรี	ch-o-n^-0|b-u-z^-1|r-ii-z^-0|
ชลประทาน	ch-o-n^-0|pr-a-z^-1|th-aa-n^-0|
ชวน	ch-uua-n^-0|
ชวลิต	ch-a-z^-3|w-a-z^-3|l-i-t^-3|
ชวา	ch-a-z^-3|w-aa-z^-0|
ชอตต์	ch-@-t^-1|
ชอบ	ch-@@-p^-2|
ชอบธรรม	ch-@@-p^-2|th-a-m^-0|
ชอบพอ	ch-@@-p^-2|ph-@@-z^-0|
ชะงัก	ch-a-z^-3|ng-a-k^-3|
ชะงักงัน	ch-a-z^-3|ng-a-k^-3|ng-a-n^-0|
ชะตา	ch-a-z^-3|t-aa-z^-0|
ชะตากรรม	ch-a-z^-3|t-aa-z^-0|k-a-m^-0|
ชะลอ	ch-a-z^-3|l-@@-z^-0|
ชะล้าง	ch-a-z^-3|l-aa-ng^-3|
ชัก	ch-a-k^-3|
ชักจูง	ch-a-k^-3|c-uu-ng^-0|
ชักชวน	ch-a-k^-3|ch-uua-n^-0|
ชักนำ	ch-a-k^-3|n-a-m^-0|
ชัด	ch-a-t^-3|
ชัดเจน	ch-a-t^-3|c-ee-n^-0|
ชัดแจ้ง	ch-a-t^-3|c-xx-ng^-2|
ชัน	ch-a-n^-0|
ชัยชนะ	ch-a-j^-0|ch-a-z^-3|n-a-z^-3|
ชัยนาม	ch-a-j^-0|n-aa-m^-0|
ชัยภูมิ	ch-a-j^-0|j-a-z^-3|ph-uu-m^-0|
ชัยวัฒน์	ch-a-j^-0|w-a-t^-3|
ชั่ง	ch-a-ng^-2|
ชั่ว	ch-uua-z^-2|
ชั่วคราว	ch-uua-z^-2|khr-aa-w^-0|
ชั่วโมง	ch-uua-z^-2|m-oo-ng^-0|
ชั้น	ch-a-n^-3|
ชั้นปี	ch-a-n^-3|p-ii-z^-0|
ชั้นผู้ใหญ่	ch-a-n^-3|ph-uu-z^-2|j-a-j^-1|
ชาญ	ch-aa-n^-0|
ชาญวิทย์	ch-aa-n^-0|w-i-t^-3|
ชาติ	ch-aa-t^-2|
ชาติชาย	ch-aa-t^-2|ch-aa-j^-0|
ชาตินิยม	ch-aa-t^-2|n-i-z^-3|j-o-m^-0|
ชาติพันธุ์	ch-aa-t^-2|ph-a-n^-0|
ชาติไทย	ch-aa-t^-2|th-a-j^-0|
ชาย	ch-aa-j^-0|
ชายคา	ch-aa-j^-0|kh-aa-z^-0|
ชายฝั่ง	ch-aa-j^-0|f-a-ng^-1|
ชายเลน	ch-aa-j^-0|l-ee-n^-0|
ชายแดน	ch-aa-j^-0|d-xx-n^-0|
ชาว	ch-aa-w^-0|
ชาวนา	ch-aa-w^-0|n-aa-z^-0|
ชาวบ้าน	ch-aa-w^-0|b-aa-n^-2|
ชาวเกาะ	ch-aa-w^-0|k-@-z^-1|
ชาวเขา	ch-aa-w^-0|kh-a-w^-4|
ชาวเมือง	ch-aa-w^-0|m-vva-ng^-0|
ชาวไทย	ch-aa-w^-0|th-a-j^-0|
ชาวไร่	ch-aa-w^-0|r-a-j^-2|
ชำนาญ	ch-a-m^-0|n-aa-n^-0|
ชำนิชำนาญ	ch-a-m^-0|n-i-z^-3|ch-a-m^-0|n-aa-n^-0|
ชำระ	ch-a-m^-0|r-a-z^-3|
ชิง	ch-i-ng^-0|
ชิงชัง	ch-i-ng^-0|ch-a-ng^-0|
ชิด	ch-i-t^-3|
ชิดชอบ	ch-i-t^-3|ch-@@-p^-2|
ชิดพงษ์	ch-i-t^-3|ph-o-ng^-0|
ชิลี	ch-i-z^-3|l-ii-z^-0|
ชิ้น	ch-i-n^-3|
ชิ้นส่วน	ch-i-n^-3|s-uua-n^-1|
ชีพ	ch-ii-p^-2|
ชีพจร	ch-ii-p^-2|ph-a-z^-3|c-@@-n^-0|
ชีวภาพ	ch-ii-z^-0|w-a-z^-3|ph-aa-p^-2|
ชีววิทยา	ch-ii-z^-0|w-a-z^-3|w-i-t^-3|th-a-z^-3|j-aa-z^-0|
ชีวิต	ch-ii-z^-0|w-i-t^-3|
ชีวิตชีวา	ch-ii-z^-0|w-i-t^-3|ch-ii-z^-0|w-aa-z^-0|
ชีวเคมี	ch-ii-z^-0|w-a-z^-3|kh-ee-z^-0|m-ii-z^-0|
ชี้	ch-ii-z^-3|
ชี้ขาด	ch-ii-z^-3|kh-aa-t^-1|
ชี้นำ	ch-ii-z^-3|n-a-m^-0|
ชี้แจง	ch-ii-z^-3|c-xx-ng^-0|
ชื่นชม	ch-vv-n^-2|ch-o-m^-0|
ชื่อ	ch-vv-z^-2|
ชื่อดัง	ch-vv-z^-2|d-a-ng^-0|
ชื่อเสียง	ch-vv-z^-2|s-iia-ng^-4|
ชุกชุม	ch-u-k^-3|ch-u-m^-0|
ชุณหะวัณ	ch-u-n^-0|h-a-z^-1|w-a-n^-0|
ชุด	ch-u-t^-3|
ชุดคำสั่ง	ch-u-t^-3|kh-a-m^-0|s-a-ng^-1|
ชุมชน	ch-u-m^-0|ch-o-n^-0|
ชุมนุม	ch-u-m^-0|n-u-m^-0|
ชุมแพ	ch-u-m^-0|ph-xx-z^-0|
ชูศักดิ์	ch-uu-z^-0|s-a-k^-1|
ชู้สาว	ch-uu-z^-3|s-aa-w^-4|
ช่วง	ch-uua-ng^-2|
ช่วงชิง	ch-uua-ng^-2|ch-i-ng^-0|
ช่วย	ch-uua-j^-2|
ช่วยเหลือ	ch-uua-j^-2|l-vva-z^-4|
ช่อง	ch-@@-ng^-2|
ช่องทาง	ch-@-ng^-2|th-aa-ng^-0|
ช่องว่าง	ch-@-ng^-2|w-aa-ng^-2|
ช่าง	ch-a-ng^-2|
ช้า	ch-aa-z^-3|
ช้าง	ch-aa-ng^-3|
ช้านาน	ch-aa-z^-3|n-aa-n^-0|
ซอย	s-@@-j^-0|
ซอสสมา	s-@@-t^-3|s-a-z^-1|m-aa-z^-0|
ซักถาม	s-a-k^-3|th-aa-m^-4|
ซัดดัม	s-a-t^-3|d-a-m^-0|
ซับซ้อน	s-a-p^-3|s-@@-n^-3|
ซาบซึ้ง	s-aa-p^-2|s-v-ng^-3|
ซาร์ทร์	s-aa-t^-3|
ซาลิน่า	s-aa-z^-0|l-i-z^-3|n-aa-z^-2|
ซาอุดิอาระเบีย	s-aa-z^-0|z-u-z^-1|d-i-z^-1|z-aa-z^-0|r-a-z^-3|b-iia-z^-0|
ซิ	s-i-z^-3|
ซิซิลี	s-i-z^-3|s-i-z^-3|l-ii-z^-0|
ซี	s-ii-z^-0|
ซีก	s-ii-k^-2|
ซีกโลก	s-ii-k^-2|l-oo-k^-2|
ซีพี	s-ii-z^-0|ph-ii-z^-0|
ซีไรต์	s-ii-z^-0|r-a-j^-3|
ซึม	s-v-m^-0|
ซึ่ง	s-v-ng^-2|
ซึ่งกันและกัน	s-v-ng^-2|k-a-n^-0|l-x-z^-3|k-a-n^-0|
ซื่อ	s-vv-z^-2|
ซื่อตรง	s-vv-z^-2|tr-o-ng^-0|
ซื่อสัตย์	s-vv-z^-2|s-a-t^-1|
ซื้อ	s-vv-z^-3|
ซื้อขาย	s-vv-z^-3|kh-aa-j^-4|
ซื้อหา	s-vv-z^-3|h-aa-z^-4|
ซุก	s-u-k^-3|
ซุกซ่อน	s-u-k^-3|s-@@-n^-2|
ซ่อนเร้น	s-@@-n^-2|r-e-n^-3|
ซ่อม	s-@-m^-2|
ซ่อมแซม	s-@-m^-2|s-xx-m^-0|
ซ้อน	s-@@-n^-3|
ซ้าย	s-aa-j^-3|
ซ้ำ	s-a-m^-3|
ซ้ำซ้อน	s-a-m^-3|s-@@-n^-3|
ซ้ำร้าย	s-a-m^-3|r-aa-j^-3|
ญัตติ	j-a-t^-3|t-i-z^-1|
ญาณ	j-aa-n^-0|
ญาติ	j-aa-t^-2|
ญี่ปุ่น	j-ii-z^-2|p-u-n^-1|
ฐาน	th-aa-n^-4|
ฐานกรณ์	th-aa-n^-4|k-@@-n^-0|
ฐานะ	th-aa-z^-4|n-a-z^-3|
ณรงค์	n-a-z^-3|r-o-ng^-0|
ดงใหญ่	d-o-ng^-0|j-a-j^-1|
ดนตรี	d-o-n^-0|tr-ii-z^-0|
ดม	d-o-m^-0|
ดวง	d-uua-ng^-0|
ดวงดาว	d-uua-ng^-0|d-aa-w^-0|
ดวงมน	d-uua-ng^-0|m-o-n^-0|
ดวงอาทิตย์	d-uua-ng^-0|z-aa-z^-0|th-i-t^-3|
ดอก	d-@@-k^-1|
ดอกไม้	d-@@-k^-1|m-aa-j^-3|
ดอน	d-@@-n^-0|
ดอลลาร์	d-@-n^-0|l-aa-z^-2|
ดอสโตเยฟสกี	d-@@-t^-3|t-oo-z^-0|j-ee-p^-3|s-a-z^-1|k-ii-z^-2|
ดัก	d-a-k^-1|
ดัง	d-a-ng^-0|
ดังกล่าว	d-a-ng^-0|kl-aa-w^-1|
ดังต่อไปนี้	d-a-ng^-0|t-@@-z^-1|p-a-j^-0|n-ii-z^-3|
ดังที่	d-a-ng^-0|th-ii-z^-2|
ดังนั้น	d-a-ng^-0|n-a-n^-3|
ดังนี้	d-a-ng^-0|n-ii-z^-3|
ดังเดิม	d-a-ng^-0|d-qq-m^-0|
ดัดแปลง	d-a-t^-1|pl-xx-ng^-0|
ดัตช์	d-a-t^-3|
ดับทุกข์	d-a-p^-1|th-u-k^-3|
ดั่ง	d-a-ng^-1|
ดั่ง	d-a-ng^1|
ดั่งนี้	d-a-ng^-1|n-ii-z^-3|
ดั้งเดิม	d-a-ng^-2|d-qq-m^-0|
ดาราศาสตร์	d-aa-z^-0|r-aa-z^-0|s-aa-t^-1|
ดาว	d-aa-w^-0|
ดำ	d-a-m^-0|
ดำรง	d-a-m^-0|r-o-ng^-0|
ดำเนิน	d-a-m^-0|n-qq-n^-0|
ดำเนินการ	d-a-m^-0|n-qq-n^-0|k-aa-n^-0|
ดำเนินงาน	d-a-m^-0|n-qq-n^-0|ng-aa-n^-0|
ดิฉัน	d-i-z^-1|ch-a-n^-4|
ดิน	d-i-n^-0|
ดินแดน	d-i-n^-0|d-xx-n^-0|
ดิษฐพันธุ์	d-i-t^-1|th-a-z^-1|ph-a-n^-0|
ดิเรก	d-i-z^-1|r-ee-k^-1|
ดิ่ง	d-i-ng^-1|
ดิ้น	d-i-n^-2|
ดิ้นรน	d-i-n^-2|r-o-n^-0|
ดี	d-ii-z^-0|
ดีดีที	d-ii-z^-0|d-ii-z^-0|th-ii-z^-0|
ดีเด่น	d-ii-z^-0|d-e-n^-1|
ดีใจ	d-ii-z^-0|c-a-j^-0|
ดึก	d-v-k^-1|
ดึกดำบรรพ์	d-v-k^-1|d-a-m^-0|b-a-n^-0|
ดึง	d-v-ng^-0|
ดื่ม	d-vv-m^-1|
ดื้อดึง	d-vv-z^-2|d-v-ng^-0|
ดุ	d-u-z^-1|
ดุจ	d-u-t^-1|
ดุน	d-u-n^-0|
ดุล	d-u-n^-0|
ดุลพินิจ	d-u-n^-0|ph-i-z^-3|n-i-t^-3|
ดุลยภาพ	d-u-n^-0|l-a-z^-3|j-a-z^-3|ph-aa-p^-2|
ดุลอำนาจ	d-u-n^-0|z-a-m^-0|n-aa-t^-2|
ดุเดือด	d-u-z^-1|d-vva-t^-1|
ดุ้น	d-u-n^-2|
ดู	d-uu-z^-0|
ดูจะ	d-uu-z^-0|c-a-z^-1|
ดูด	d-uu-t^-1|
ดูถูก	d-uu-z^-0|th-uu-k^-1|
ดูหมิ่น	d-uu-z^-0|m-i-n^-1|
ดูเหมือน	d-uu-z^-0|m-vva-n^-4|
ดูเหมือนว่า	d-uu-z^-0|m-vva-n^-4|w-aa-z^-2|
ดูแล	d-uu-z^-0|l-xx-z^-0|
ด็อกเตอร์	d-@-k^-3|t-qq-z^-2|
ด็อกเตอร์	d-o-k^-3|t-qq-z^-2|
ด่วน	d-uua-n^-1|
ด่าง	d-aa-ng^-1|
ด้น	d-o-n^-2|
ด้วย	d-uua-j^-2|
ด้วยว่า	d-uua-j^-2|w-aa-z^-2|
ด้วยเหตุที่	d-uua-j^-2|h-ee-t^-1|th-ii-z^-2|
ด้วยเหตุนี้	d-uua-j^-2|h-ee-t^-1|n-ii-z^-3|
ด้อย	d-@-j^-2|
ด้อย	d-@@-j^-2|
ด้อยพัฒนา	d-@-j^-2|ph-a-t^-3|th-a-z^-3|n-aa-z^-0|
ด้าน	d-aa-n^-2|
ตก	t-o-k^-1|
ตกต่ำ	t-o-k^-1|t-a-m^-1|
ตกทอด	t-o-k^-1|th-@@-t^-2|
ตกยาก	t-o-k^-1|j-aa-k^-2|
ตกลง	t-o-k^-1|l-o-ng^-0|
ตกใจ	t-o-k^-1|c-a-j^-0|
ตน	t-o-n^-0|
ตนเอง	t-o-n^-0|z-ee-ng^-0|
ตรง	tr-o-ng^-0|
ตรงกันข้าม	tr-o-ng^-0|k-a-n^-0|kh-aa-m^-2|
ตรงข้าม	tr-o-ng^-0|kh-aa-m^-2|
ตรงไปตรงมา	tr-o-ng^-0|p-a-j^-0|tr-o-ng^-0|m-aa-z^-0|
ตรรกวิทยา	t-a-k^-1|k-a-z^-1|w-i-t^-3|th-a-z^-3|j-aa-z^-0|
ตรวจ	tr-uua-t^-1|
ตรวจการณ์	tr-uua-t^-1|k-aa-n^-0|
ตรวจจับ	tr-uua-t^-1|c-a-p^-1|
ตรวจสอบ	tr-uua-t^-1|s-@@-p^-1|
ตระกูล	tr-a-z^-1|k-uu-n^-0|
ตระหนก	tr-a-z^-1|n-o-k^-1|
ตระหนัก	tr-a-z^-1|n-a-k^-1|
ตระเตรียม	tr-a-z^-1|tr-iia-m^-0|
ตรัส	tr-a-t^-1|
ตรา	tr-aa-z^-0|
ตราบ	tr-aa-p^-1|
ตราหน้า	tr-aa-z^-0|n-aa-z^-2|
ตรี	tr-ii-z^-0|
ตรุษจีน	tr-u-t^-1|c-ii-n^-0|
ตลก	t-a-z^-1|l-o-k^-1|
ตลอด	t-a-z^-1|l-@@-t^-1|
ตลอดจน	t-a-z^-1|l-@@-t^-1|c-o-n^-0|
ตลอดมา	t-a-z^-1|l-@@-t^-1|m-aa-z^-0|
ตลอดไป	t-a-z^-1|l-@@-t^-1|p-a-j^-0|
ตลาด	t-a-z^-1|l-aa-t^-1|
ตลาดมืด	t-a-z^-1|l-aa-t^-1|m-vv-t^-2|
ตวง	t-uua-ng^-0|
ตอน	t-@@-n^-0|
ตอนนั้น	t-@@-n^-0|n-a-n^-3|
ตอนนี้	t-@@-n^-0|n-ii-z^-3|
ตอนแรก	t-@@-n^-0|r-xx-k^-2|
ตอบ	t-@@-p^-1|
ตอบสนอง	t-@@-p^-1|s-a-z^-1|n-@@-ng^-4|
ตอบแทน	t-@@-p^-1|th-xx-n^-0|
ตอบโต้	t-@@-p^-1|t-oo-z^-2|
ตะกวด	t-a-z^-1|k-uua-t^-1|
ตะกั่ว	t-a-z^-1|k-uua-z^-1|
ตะราง	t-a-z^-1|r-aa-ng^-0|
ตะวัน	t-a-z^-1|w-a-n^-0|
ตะวันตก	t-a-z^-1|w-a-n^-0|t-o-k^-1|
ตะวันออก	t-a-z^-1|w-a-n^-0|z-@@-k^-1|
ตะวันออกกลาง	t-a-z^-1|w-a-n^-0|z-@@-k^-1|kl-aa-ng^-0|
ตะวันออกเฉียงเหนือ	t-a-z^-1|w-a-n^-0|z-@@-k^-1|ch-iia-ng^-4|n-vva-z^-4|
ตะวันออกเฉียงใต้	t-a-z^-1|w-a-n^-0|z-@@-k^-1|ch-iia-ng^-4|t-aa-j^-2|
ตะเข็บ	t-a-z^-1|kh-e-p^-1|
ตัก	t-a-k^-1|
ตักตวง	t-a-k^-1|t-uua-ng^-0|
ตักเตือน	t-a-k^-1|t-vva-n^-0|
ตัณหา	t-a-n^-0|h-aa-z^-4|
ตัด	t-a-t^-1|
ตัดสิน	t-a-t^-1|s-i-n^-4|
ตัดสินใจ	t-a-t^-1|s-i-n^-4|c-a-j^-0|
ตัน	t-a-n^-0|
ตับ	t-a-p^-1|
ตัว	t-uua-z^-0|
ตัวการ	t-uua-z^-0|k-aa-n^-0|
ตัวตน	t-uua-z^-0|t-o-n^-0|
ตัวนำ	t-uua-z^-0|n-a-m^-0|
ตัวประกอบ	t-uua-z^-0|pr-a-z^-1|k-@@-p^-1|
ตัวละคร	t-uua-z^-0|l-a-z^-3|kh-@@-n^-0|
ตัวสะกด	t-uua-z^-0|s-a-z^-1|k-o-t^-1|
ตัวหนังสือ	t-uua-z^-0|n-a-ng^-4|s-vv-z^-4|
ตัวอย่าง	t-uua-z^-0|j-aa-ng^-1|
ตัวอ่อน	t-uua-z^-0|z-@@-n^-1|
ตัวเมือง	t-uua-z^-0|m-vva-ng^-0|
ตัวเลข	t-uua-z^-0|l-ee-k^-2|
ตัวเอก	t-uua-z^-0|z-ee-k^-1|
ตัวเอง	t-uua-z^-0|z-ee-ng^-0|
ตัวแทน	t-uua-z^-0|th-xx-n^-0|
ตัวแปร	t-uua-z^-0|pr-xx-z^-0|
ตั้ง	t-a-ng^-2|
ตั้งมั่น	t-a-ng^-2|m-a-n^-2|
ตั้งอยู่	t-a-ng^-2|j-uu-z^-1|
ตั้งแต่	t-a-ng^-2|t-xx-z^-1|
ตั้งใจ	t-a-ng^-2|c-a-j^-0|
ตา	t-aa-z^-0|
ตาด	t-aa-t^-1|
ตาทัพ	t-aa-z^-0|th-a-p^-3|
ตาม	t-aa-m^-0|
ตามพรลิงค์	t-aa-m^-0|ph-@@-n^-0|l-i-ng^-0|
ตามแต่	t-aa-m^-0|t-xx-z^-1|
ตามใจ	t-aa-m^-0|c-a-j^-0|
ตาย	t-aa-j^-0|
ตายตัว	t-aa-j^-0|t-uua-z^-0|
ตาราง	t-aa-z^-0|r-aa-ng^-0|
